lemma,pos,gender,possible_participle
abuela,NOUN,f,
abuelo,NOUN,m,
ama,NOUN,f,
amante,NOUN,common,
amiga,NOUN,f,
amigo,NOUN,m,
amistad,NOUN,f,
bastardo,NOUN,m,
bebé,NOUN,m,
boda,NOUN,f,
caballero,NOUN,m,
chica,NOUN,f,
cita,NOUN,f,
cobarde,NOUN,m,
compañera,NOUN,f,
compañero,NOUN,m,
compromiso,NOUN,m,
dama,NOUN,f,
divorcio,NOUN,m,
don,NOUN,m,
dueño,NOUN,m,
encantador,NOUN,m,
esposa,NOUN,f,
esposo,NOUN,m,
familia,NOUN,f,
gente,NOUN,f,
gigante,NOUN,m,
gordo,NOUN,m,
hermana,NOUN,f,
hermano,NOUN,m,
hija,NOUN,f,
hijo,NOUN,m,
hombre,NOUN,m,
héroe,NOUN,m,
idiota,NOUN,f,
joven,NOUN,common,
madame,NOUN,m,
madre,NOUN,f,
mama,NOUN,f,
mamá,NOUN,f,
marido,NOUN,m,
matrimonio,NOUN,m,
miembro,NOUN,m,
muchacha,NOUN,f,
muchacho,NOUN,m,
mujer,NOUN,f,
niña,NOUN,f,
niño,NOUN,m,
novia,NOUN,f,
novio,NOUN,m,
padre,NOUN,m,
papá,NOUN,m,
pareja,NOUN,f,
persona,NOUN,f,
primo,NOUN,m,
relación,NOUN,f,
responsable,NOUN,common,
señor,NOUN,m,
señora,NOUN,f,
señorita,NOUN,f,
tío,NOUN,m,
vecino,NOUN,m,
yerno,NOUN,m,
boca,NOUN,f,
brazo,NOUN,m,
cabello,NOUN,m,
cabeza,NOUN,f,
cara,NOUN,f,
cerebro,NOUN,m,
corazón,NOUN,m,
cuello,NOUN,m,
cuerpo,NOUN,m,
culo,NOUN,m,
dedo,NOUN,m,
diente,NOUN,m,
espalda,NOUN,f,
estómago,NOUN,m,
frente,NOUN,f,
garganta,NOUN,f,
hueso,NOUN,m,
labio,NOUN,m,
lengua,NOUN,f,
mano,NOUN,f,
muñeca,NOUN,f,
nariz,NOUN,f,
ojo,NOUN,m,
pecho,NOUN,m,
pelo,NOUN,m,
pie,NOUN,m,
piel,NOUN,f,
pierna,NOUN,f,
rodilla,NOUN,f,
rostro,NOUN,m,
sangre,NOUN,f,
sexo,NOUN,m,
teta,NOUN,f,
voz,NOUN,f,
alegría,NOUN,f,
amor,NOUN,m,
aprecio,NOUN,m,
asco,NOUN,m,
beso,NOUN,m,
calma,NOUN,f,
cariño,NOUN,m,
confianza,NOUN,f,
culpa,NOUN,f,
curiosidad,NOUN,f,
deseo,NOUN,m,
diversión,NOUN,f,
esperanza,NOUN,f,
felicidad,NOUN,f,
gana,NOUN,f,
genio,NOUN,m,
gusto,NOUN,m,
humor,NOUN,m,
ira,NOUN,f,
lamento,NOUN,m,
locura,NOUN,f,
lágrima,NOUN,f,
lástima,NOUN,f,
miedo,NOUN,m,
odio,NOUN,m,
orgullo,NOUN,m,
paciencia,NOUN,f,
pasión,NOUN,f,
paz,NOUN,f,
pena,NOUN,f,
pesadilla,NOUN,f,
pesar,NOUN,m,
placer,NOUN,m,
prisa,NOUN,f,
pánico,NOUN,m,
pecado,NOUN,m,
pérdida,NOUN,f,
sensación,NOUN,f,
sentimiento,NOUN,m,
sonrisa,NOUN,f,
sorpresa,NOUN,f,
sueño,NOUN,m,
vergüenza,NOUN,f,
acuerdo,NOUN,m,
adiós,NOUN,m,
alemán,NOUN,m,
análisis,NOUN,m,
atención,NOUN,f,
aviso,NOUN,m,
broma,NOUN,f,
carta,NOUN,f,
conciencia,NOUN,f,
conocimiento,NOUN,m,
consejo,NOUN,m,
contacto,NOUN,m,
conversación,NOUN,f,
correo,NOUN,m,
cuestión,NOUN,f,
decisión,NOUN,f,
disculpa,NOUN,f,
discurso,NOUN,m,
duda,NOUN,f,
ejemplo,NOUN,m,
excusa,NOUN,f,
explicación,NOUN,f,
favor,NOUN,m,
felicitación,NOUN,f,
gracias,NOUN,f,
habla,NOUN,f,
historia,NOUN,f,
idea,NOUN,f,
impresión,NOUN,f,
información,NOUN,f,
inglés,NOUN,m,
intención,NOUN,f,
mensaje,NOUN,m,
mente,NOUN,f,
mentira,NOUN,f,
mirada,NOUN,f,
motivo,NOUN,m,
nombre,NOUN,m,
nota,NOUN,f,
noticia,NOUN,f,
opción,NOUN,f,
opinión,NOUN,f,
palabra,NOUN,f,
pensamiento,NOUN,m,
perdón,NOUN,m,
plan,NOUN,m,
porqué,NOUN,m,
pregunta,NOUN,f,
promesa,NOUN,f,
razón,NOUN,f,
recuerdo,NOUN,m,
respuesta,NOUN,f,
secreto,NOUN,m,
